VariationID;MarketID;MarketAccountID;SKU;ParentSKU
1564;4;0;ShoulderBagWOV22_L(E01);Schultersack2SizeEOwebmuster
1565;4;0;ShoulderBagWOV22_M(E02);Schultersack2SizeEOwebmuster
1566;4;0;ShoulderBagWOV23_L(E01);Schultersack2SizeEOwebmuster
1567;4;0;ShoulderBagWOV23_M(E02);Schultersack2SizeEOwebmuster
1568;4;0;ShoulderBagWOV24_L(E01);Schultersack2SizeEOwebmuster
1569;4;0;ShoulderBagWOV24_M(E02);Schultersack2SizeEOwebmuster
1570;4;0;ShoulderBagWOV25_L(E01);Schultersack2SizeEOwebmuster
1571;4;0;ShoulderBagWOV25_M(E02);Schultersack2SizeEOwebmuster
1572;4;0;ShoulderBagWOV26_L(E01);Schultersack2SizeEOwebmuster
1573;4;0;ShoulderBagWOV26_M(E02);Schultersack2SizeEOwebmuster
1574;4;0;ShoulderBagWOV27_L(E01);Schultersack2SizeEOwebmuster
1575;4;0;ShoulderBagWOV27_M(E02);Schultersack2SizeEOwebmuster
1576;4;0;ShoulderBagWOV28_L(E01);Schultersack2SizeEOwebmuster
1577;4;0;ShoulderBagWOV28_M(E02);Schultersack2SizeEOwebmuster
1578;4;0;ShoulderBagWOV29_L(E01);Schultersack2SizeEOwebmuster
1579;4;0;ShoulderBagWOV29_M(E02);Schultersack2SizeEOwebmuster
1580;4;0;ShoulderBagWOV30_L(E01);Schultersack2SizeEOwebmuster
1581;4;0;ShoulderBagWOV31_L(E01);Schultersack2SizeEOwebmuster
1582;4;0;ShoulderBagWOV32_M(E02);Schultersack2SizeEOwebmuster
1648;4;0;TrLeggingsBatik2BuntTydy02;LeggingsBatik2 parent
1649;4;0;TrLeggingsBatik2BuntTydy03;LeggingsBatik2 parent
1650;4;0;TrLeggingsBatik2BuntTydyBlau;LeggingsBatik2 parent
1651;4;0;TrLeggingsBatik2BuntTydyBraungelb;LeggingsBatik2 parent
1652;4;0;TrLeggingsBatik2BuntTzdz;LeggingsBatik2 parent
1653;4;0;TrLeggingsBatik2Buntlevel;LeggingsBatik2 parent
1654;4;0;TrLeggingsBatik2Buntlevel02;LeggingsBatik2 parent
1655;4;0;TrLeggingsBatik2Circle01Lilaton;LeggingsBatik2 parent
1656;4;0;TrLeggingsBatik2Circle02Dlilaton;LeggingsBatik2 parent
1657;4;0;TrLeggingsBatik2Circle03Blauton;LeggingsBatik2 parent
1658;4;0;TrLeggingsBatik2Circle04Oliventon;LeggingsBatik2 parent
1659;4;0;TrLeggingsBatik2Circle05BlackBrown;LeggingsBatik2 parent
1660;4;0;TrLeggingsBatik2Dunkelgruen;LeggingsBatik2 parent
1661;4;0;TrLeggingsBatik2MarmorWeiss;LeggingsBatik2 parent
1662;4;0;TrLeggingsBatik2Pink;LeggingsBatik2 parent
